1,759890      37,302100     0.950377    9,847910    49,783400     19,737500    23,357100    4.34
1,759890      37,302100     19.7939    9,847910    49,783400     19,737500    23,357100    0.03
1,759890      37,302100     14.5048    9,847910    49,783400     19,737500    23,357100    0.07
1,759890      37,302100     18.6374    9,847910    49,783400     19,737500    23,357100    3.07
1,759890      37,302100     0.457121    9,847910    49,783400     19,737500    23,357100    0.929999
1,759890      37,302100     19.3006    9,847910    49,783400     19,737500    23,357100    0.03
1,759890      37,302100     13.5183    9,847910    49,783400     19,737500    23,357100    0.03
1,759890      37,302100     8.22915    9,847910    49,783400     19,737500    23,357100    0.15
1,759890      37,302100     0.627083    9,847910    49,783400     19,737500    23,357100    7.37007
1,759890      37,302100     17.1577    9,847910    49,783400     19,737500    23,357100    0.05
1,759890      37,302100     0.133826    9,847910    49,783400     19,737500    23,357100    5.23002
1,759890      37,302100     1.46026    9,847910    49,783400     19,737500    23,357100    152.955
1,759890      37,302100     16.1711    9,847910    49,783400     19,737500    23,357100    0.03
1,759890      37,302100     10.882    9,847910    49,783400     19,737500    23,357100    0.09
1,759890      37,302100     0.303788    9,847910    49,783400     19,737500    23,357100    23.5104
1,759890      37,302100     10.3888    9,847910    49,783400     19,737500    23,357100    0.05
1,759890      37,302100     19.8105    9,847910    49,783400     19,737500    23,357100    0.05
1,759890      37,302100     0.473751    9,847910    49,783400     19,737500    23,357100    12.4302
1,759890      37,302100     4.60639    9,847910    49,783400     19,737500    23,357100    7.91009
1,759890      37,302100     19.3173    9,847910    49,783400     19,737500    23,357100    0.03
1,759890      37,302100     18.824    9,847910    49,783400     19,737500    23,357100    0.05
1,759890      37,302100     13.5349    9,847910    49,783400     19,737500    23,357100    0.07
1,759890      37,302100     0.643713    9,847910    49,783400     19,737500    23,357100    22.3004
1,759890      37,302100     13.0416    9,847910    49,783400     19,737500    23,357100    0.05
1,759890      37,302100     0.150456    9,847910    49,783400     19,737500    23,357100    1.2
1,759890      37,302100     12.5484    9,847910    49,783400     19,737500    23,357100    0.03
1,759890      37,302100     7.25927    9,847910    49,783400     19,737500    23,357100    0.13
1,759890      37,302100     6.76601    9,847910    49,783400     19,737500    23,357100    0.03
1,759890      37,302100     16.1878    9,847910    49,783400     19,737500    23,357100    0.07
1,759890      37,302100     10.8987    9,847910    49,783400     19,737500    23,357100    0.83
1,759890      37,302100     0.320418    9,847910    49,783400     19,737500    23,357100    64.5354
1,759890      37,302100     0.983637    9,847910    49,783400     19,737500    23,357100    0.17
1,759890      37,302100     15.6945    9,847910    49,783400     19,737500    23,357100    0.03
1,759890      37,302100     19.8272    9,847910    49,783400     19,737500    23,357100    0.09
1,759890      37,302100     0.490381    9,847910    49,783400     19,737500    23,357100    8.4601
1,759890      37,302100     15.2013    9,847910    49,783400     19,737500    23,357100    0.03
1,759890      37,302100     9.91214    9,847910    49,783400     19,737500    23,357100    0.09
1,759890      37,302100     9.41889    9,847910    49,783400     19,737500    23,357100    0.03
1,759890      37,302100     18.8406    9,847910    49,783400     19,737500    23,357100    0.07
1,759890      37,302100     13.5515    9,847910    49,783400     19,737500    23,357100    0.17
1,759890      37,302100     0.660343    9,847910    49,783400     19,737500    23,357100    0.46
1,759890      37,302100     3.63651    9,847910    49,783400     19,737500    23,357100    0.07
1,759890      37,302100     18.3474    9,847910    49,783400     19,737500    23,357100    0.03
1,759890      37,302100     0.167086    9,847910    49,783400     19,737500    23,357100    3.27
1,759890      37,302100     12.565    9,847910    49,783400     19,737500    23,357100    0.11
1,759890      37,302100     12.0718    9,847910    49,783400     19,737500    23,357100    0.03
1,759890      37,302100     16.2044    9,847910    49,783400     19,737500    23,357100    0.11
1,759890      37,302100     0.337048    9,847910    49,783400     19,737500    23,357100    4.31
1,759890      37,302100     2.15674    9,847910    49,783400     19,737500    23,357100    0.02
1,759890      37,302100     6.28939    9,847910    49,783400     19,737500    23,357100    0.09
1,759890      37,302100     15.2179    9,847910    49,783400     19,737500    23,357100    0.15
1,759890      37,302100     1.17023    9,847910    49,783400     19,737500    23,357100    71.5869
1,759890      37,302100     0.0137541    9,847910    49,783400     19,737500    23,357100    1.73
1,759890      37,302100     14.7246    9,847910    49,783400     19,737500    23,357100    0.03
1,759890      37,302100     18.8573    9,847910    49,783400     19,737500    23,357100    0.07
1,759890      37,302100     0.676973    9,847910    49,783400     19,737500    23,357100    4.96002
1,759890      37,302100     8.94226    9,847910    49,783400     19,737500    23,357100    0.07
1,759890      37,302100     0.183716    9,847910    49,783400     19,737500    23,357100    3.81
1,759890      37,302100     3.15988    9,847910    49,783400     19,737500    23,357100    0.13
1,759890      37,302100     17.8708    9,847910    49,783400     19,737500    23,357100    0.37
1,759890      37,302100     12.5816    9,847910    49,783400     19,737500    23,357100    3.81
1,759890      37,302100     17.3775    9,847910    49,783400     19,737500    23,357100    0.03
1,759890      37,302100     12.0884    9,847910    49,783400     19,737500    23,357100    0.05
1,759890      37,302100     0.353678    9,847910    49,783400     19,737500    23,357100    3.86
1,759890      37,302100     11.5951    9,847910    49,783400     19,737500    23,357100    0.21
1,759890      37,302100     1.68012    9,847910    49,783400     19,737500    23,357100    48.5579
1,759890      37,302100     5.81276    9,847910    49,783400     19,737500    23,357100    0.07
1,759890      37,302100     15.2345    9,847910    49,783400     19,737500    23,357100    0.41
1,759890      37,302100     0.0303841    9,847910    49,783400     19,737500    23,357100    14.1702
1,759890      37,302100     14.7413    9,847910    49,783400     19,737500    23,357100    0.03
1,759890      37,302100     0.693603    9,847910    49,783400     19,737500    23,357100    8.3301
